feature_name,variance,kept_by_variance_threshold,target_correlation,abs_target_correlation,mutual_information,rf_importance,has_target_encoded_source,is_target_derived_feature,overall_preview_rank
arrival_date_month_August,0.10936994141029026,True,-0.002561306081375185,0.002561306081375185,0.0,1.0202166325363386e-05,False,False,405.0
arrival_month_2024_06,0.10720670723116604,True,0.002685539045854219,0.002685539045854219,0.0,9.149800084473017e-06,False,False,406.0
city_Mumbai,0.06275806008796249,True,3.881783209810176e-06,3.881783209810176e-06,0.0018017991756285046,4.987554656860385e-06,False,False,408.0
assigned_room_type_H,0.00416424302237845,True,-0.012410982455238792,0.012410982455238792,0.0,0.0,False,False,408.5
reserved_room_type_P,8.093015674411904e-05,True,0.011742777943962002,0.011742777943962002,0.0,0.0,False,False,410.0
assigned_room_type_P,8.093015674411904e-05,True,0.011742777943962002,0.011742777943962002,0.0,0.0,False,False,410.0
arrival_date_month_July,0.11231868009950585,True,2.5835634896894175e-05,2.5835634896894175e-05,0.0013967266869889805,4.858970539268388e-06,False,False,413.5
city_Jaipur,0.06233755430415774,True,-0.004549171043625999,0.004549171043625999,0.0,3.11332043911711e-06,False,False,414.5
city_Ahmedabad,0.06222066343795407,True,0.0025819200728466503,0.0025819200728466503,0.0,5.055036264745512e-06,False,False,418.5
rfm_segment_流失,0.0003506027239377812,True,-0.00838187269798516,0.00838187269798516,0.0,0.0,False,False,419.5
city_Chennai,0.06129594619695576,True,-0.002113860550778143,0.002113860550778143,0.0,6.091485586396898e-06,False,False,419.5
city_Lucknow,0.061495127774414314,True,0.0012374000486444301,0.0012374000486444301,0.00021354821969388205,6.839721206478085e-07,False,False,420.0
arrival_month_2024_04,0.10740034250643292,True,-0.002008589531902506,0.002008589531902506,0.0,5.577588789862247e-06,False,False,424.0
reserved_room_type_L,6.744270711324087e-05,True,0.0005123876544588598,0.0005123876544588598,0.002031566241545546,0.0,False,False,424.0
arrival_month_2024_02,0.10524260003991183,True,0.0007309578217780621,0.0007309578217780621,0.0,8.673519514893981e-06,False,False,427.5
city_Pune,0.06163566321105059,True,-0.0014019647407478176,0.0014019647407478176,0.0,5.4825978628554e-06,False,False,429.5
assigned_room_type_L,1.348926928382819e-05,True,0.004793807345983581,0.004793807345983581,0.0,0.0,False,False,430.5
arrival_date_month_April,0.10740034250643292,True,-0.002008589531902506,0.002008589531902506,0.0,3.387524474581006e-06,False,False,435.0
distribution_channel_Undefined,4.0466716059714536e-05,True,0.003910817961638781,0.003910817961638781,0.0,0.0,False,False,438.5
city_Goa,0.06342289631429121,True,-0.0004491717566639356,0.0004491717566639356,0.0,4.459778665000417e-06,False,False,446.5
arrival_month_2024_07,0.11231868009950585,True,2.5835634896894175e-05,2.5835634896894175e-05,0.0,3.932581666617388e-06,False,False,453.0
arrival_date_year_scaled,0.0,False,0.0,0.0,0.0,0.0,False,False,476.5
